Date,Time,Open,High,Low,Close,ma,ema
01/03/2016,17:00,1.08701,1.08713,1.08701,1.08713,1.08713,1.08713
01/10/2016,17:00,1.0917,1.09193,1.09169,1.09193,1.0895299999999999,1.08713
01/17/2016,17:00,1.09228,1.09239,1.09228,1.09236,1.0904833333333332,1.09033
01/24/2016,17:00,1.07913,1.07933,1.07882,1.07899,1.0876949999999999,1.08976
01/31/2016,17:00,1.08302,1.08302,1.08297,1.083,1.08676,1.0859299999999998
02/07/2016,17:00,1.11408,1.11424,1.11408,1.11424,1.09134,1.0875133333333333
02/14/2016,17:00,1.12346,1.12355,1.12346,1.12353,1.0959414285714284,1.0940185714285713
02/21/2016,17:00,1.11089,1.11115,1.11089,1.11114,1.0978424999999998,1.0965225
02/28/2016,17:00,1.0912,1.09146,1.0912,1.09146,1.097133333333333,1.0978255555555554
03/06/2016,17:00,1.09884,1.09884,1.09879,1.09881,1.0973039999999998,1.09551
03/13/2016,17:00,1.11372,1.11418,1.11354,1.11381,1.0988381818181816,1.09801
03/20/2016,17:00,1.12637,1.12637,1.12576,1.12629,1.1011324999999996,1.0986216666666666
03/27/2016,17:00,1.11604,1.11604,1.11604,1.11604,1.1022792307692304,1.1023730769230768
04/03/2016,17:00,1.14,1.14003,1.14,1.14002,1.104975714285714,1.10111
04/10/2016,17:00,1.1413,1.14145,1.14127,1.14139,1.1074073333333332,1.107394
04/17/2016,17:00,1.13008,1.13008,1.12985,1.12991,1.1088243749999998,1.1061525
04/24/2016,17:00,1.12177,1.12189,1.12177,1.12187,1.1095929411764704,1.1100629411764706
05/01/2016,17:00,1.14596,1.14629,1.14589,1.14591,1.1116316666666666,1.1079011111111112
05/08/2016,17:00,1.13959,1.13962,1.13957,1.13962,1.1131047368421052,1.1138763157894738
05/15/2016,17:00,1.13114,1.13144,1.13114,1.13123,1.1140215,1.1110730000000002
05/22/2016,17:00,1.1206,1.12095,1.1206,1.1209,1.1143514285714287,1.1155490476190477
05/29/2016,17:00,1.11127,1.11128,1.11125,1.11125,1.1142118181818181,1.1119709090909093
