Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.4593908629441624,0.6840277777777778,-0.008224670485749264,0.5034722222222222,0.18055555555555555,0.46551724137931033,0.4423076923076923,0.4944237918215613,0.1485148514851485,0.375,1.0,-0.054902474431959336,0.0,1.0,0,0.375,0.0,1.0,0.375,1.0,-0.015512100785055109,0.0,1.0,0,0.375,0.0,1.0
1,0.5066964285714286,0.7777777777777778,0.029241872809433255,0.2204861111111111,0.5572916666666666,0.4566929133858268,0.5264797507788161,0.21561338289962825,0.5511551155115512,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
2,0.5054545454545455,0.4774305555555556,0.011717484611560148,0.1996527777777778,0.2777777777777778,0.43478260869565216,0.55625,0.18587360594795538,0.29042904290429045,0.375,1.0,-0.054902474431959336,0.0,1.0,0,0.375,0.0,1.0,0.375,1.0,-0.015512100785055109,0.0,1.0,0,0.375,0.0,1.0
3,0.581858407079646,0.7847222222222222,0.11390135783805191,0.2170138888888889,0.5677083333333334,0.6,0.5749235474006116,0.275092936802974,0.6105610561056105,0.6458333333333334,1.0,0.054902474431959336,1.0,0.0,0.6458333333333334,0,1.0,0.0,0.625,1.0,0.015512100785055109,1.0,0.0,0.625,0,1.0,0.0
4,0.49032258064516127,0.8072916666666666,0.026192226297006682,0.4861111111111111,0.3211805555555556,0.4642857142857143,0.5297297297297298,0.4684014869888476,0.3234323432343234,0.375,1.0,-0.054902474431959336,0.0,1.0,0,0.375,0.0,1.0,0.375,1.0,-0.015512100785055109,0.0,1.0,0,0.375,0.0,1.0
5,0.489749430523918,0.7621527777777778,-0.04533832941359944,0.1909722222222222,0.5711805555555556,0.38181818181818183,0.5258358662613982,0.15613382899628253,0.5643564356435643,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
6,0.4782608695652174,0.4791666666666667,-0.10264147406446085,0.2204861111111111,0.2586805555555556,0.47244094488188976,0.48322147651006714,0.22304832713754646,0.23102310231023102,0.6458333333333334,1.0,0.054902474431959336,1.0,0.0,0.6458333333333334,0,1.0,0.0,0.625,1.0,0.015512100785055109,1.0,0.0,0.625,0,1.0,0.0
7,0.4751131221719457,0.7673611111111112,-0.024324987069269652,0.4965277777777778,0.2708333333333333,0.45104895104895104,0.5192307692307693,0.4758364312267658,0.264026402640264,0.375,1.0,-0.054902474431959336,0.0,1.0,0,0.375,0.0,1.0,0.375,1.0,-0.015512100785055109,0.0,1.0,0,0.375,0.0,1.0
8,0.5324384787472036,0.7760416666666666,-0.01111836664414851,0.21354166666666666,0.5625,0.5121951219512195,0.5401234567901234,0.2342007434944238,0.5643564356435643,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
9,0.5125448028673835,0.484375,-0.007540313588907254,0.2204861111111111,0.2638888888888889,0.4881889763779528,0.5328947368421053,0.22676579925650558,0.26732673267326734,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
10,0.4740740740740741,0.46875,-0.008850181151789835,0.1996527777777778,0.2690972222222222,0.45217391304347826,0.49032258064516127,0.1895910780669145,0.24752475247524752,0.375,1.0,-0.054902474431959336,0.0,1.0,0,0.375,0.0,1.0,0.375,1.0,-0.015512100785055109,0.0,1.0,0,0.375,0.0,1.0
11,0.5054945054945055,0.7899305555555556,-0.00441005171045934,0.24479166666666666,0.5451388888888888,0.48226950354609927,0.5159235668789809,0.24535315985130113,0.528052805280528,0.6458333333333334,1.0,0.054902474431959336,1.0,0.0,0.6458333333333334,0,1.0,0.0,0.625,1.0,0.015512100785055109,1.0,0.0,0.625,0,1.0,0.0
12,0.4811529933481153,0.7829861111111112,-0.04757096156011305,0.5138888888888888,0.2690972222222222,0.4594594594594595,0.5225806451612903,0.4944237918215613,0.26732673267326734,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
13,0.4843205574912892,0.4982638888888889,0.004968650007527943,0.23958333333333334,0.2586805555555556,0.4855072463768116,0.48322147651006714,0.24907063197026022,0.2376237623762376,0.375,1.0,-0.054902474431959336,0.0,1.0,0,0.375,0.0,1.0,0.375,1.0,-0.015512100785055109,0.0,1.0,0,0.375,0.0,1.0
14,0.5379464285714286,0.7777777777777778,0.012396832556512721,0.23958333333333334,0.5381944444444444,0.5217391304347826,0.5451612903225806,0.26765799256505574,0.5478547854785478,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
15,0.46959459459459457,0.5138888888888888,-0.04454352563298597,0.22569444444444445,0.2881944444444444,0.45384615384615384,0.4819277108433735,0.21189591078066913,0.264026402640264,0.6458333333333334,1.0,0.054902474431959336,1.0,0.0,0.6458333333333334,0,1.0,0.0,0.625,1.0,0.015512100785055109,1.0,0.0,0.625,0,1.0,0.0
16,0.49443207126948774,0.7795138888888888,0.008883217430826963,0.515625,0.2638888888888889,0.4781144781144781,0.5263157894736842,0.516728624535316,0.2607260726072607,0.6458333333333334,1.0,0.054902474431959336,1.0,0.0,0.6458333333333334,0,1.0,0.0,0.625,1.0,0.015512100785055109,1.0,0.0,0.625,0,1.0,0.0
17,0.4989059080962801,0.7934027777777778,0.0038769047782956164,0.5329861111111112,0.2604166666666667,0.46254071661237783,0.5733333333333334,0.5241635687732342,0.2739273927392739,0.6458333333333334,1.0,0.054902474431959336,1.0,0.0,0.6458333333333334,0,1.0,0.0,0.625,1.0,0.015512100785055109,1.0,0.0,0.625,0,1.0,0.0
18,0.4878048780487805,0.7829861111111112,0.007663275502614892,0.4704861111111111,0.3125,0.46863468634686345,0.5166666666666667,0.4646840148698885,0.3069306930693069,0.375,1.0,-0.054902474431959336,0.0,1.0,0,0.375,0.0,1.0,0.375,1.0,-0.015512100785055109,0.0,1.0,0,0.375,0.0,1.0
19,0.5253863134657837,0.7864583333333334,0.12485886783228298,0.21354166666666666,0.5729166666666666,0.4878048780487805,0.5393939393939394,0.21933085501858737,0.5775577557755776,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
20,0.5176848874598071,0.5399305555555556,-0.01371554432540167,0.2152777777777778,0.3246527777777778,0.5080645161290323,0.5240641711229946,0.23048327137546468,0.3201320132013201,0.375,1.0,-0.054902474431959336,0.0,1.0,0,0.375,0.0,1.0,0.375,1.0,-0.015512100785055109,0.0,1.0,0,0.375,0.0,1.0
