Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.4937655860349127,0.6961805555555556,-0.10004361615921895,0.4322916666666667,0.2638888888888889,0.46987951807228917,0.5328947368421053,0.42435424354243545,0.26578073089701,0.5,1.0,0.0007390781074897734,1.0,0.0,0.5,0,1.0,0.0,0.5625,1.0,0.006254931641728533,1.0,0.0,0.5625,0,1.0,0.0
1,0.4911894273127753,0.7881944444444444,0.07094877387317204,0.5225694444444444,0.265625,0.4684385382059801,0.5359477124183006,0.5166051660516605,0.26578073089701,0.5,1.0,0.0007390781074897734,1.0,0.0,0.5,0,1.0,0.0,0.5625,1.0,0.006254931641728533,1.0,0.0,0.5625,0,1.0,0.0
2,0.4806378132118451,0.7621527777777778,-0.030254427408716596,0.4965277777777778,0.265625,0.458041958041958,0.5228758169934641,0.4797047970479705,0.2591362126245847,0.5,1.0,-0.0007390781074897734,0.0,1.0,0,0.5,0.0,1.0,0.4375,1.0,-0.006254931641728533,0.0,1.0,0,0.4375,0.0,1.0
3,0.5419501133786848,0.765625,0.02035667688884256,0.21875,0.546875,0.49206349206349204,0.5619047619047619,0.22509225092250923,0.5780730897009967,0.5,1.0,0.0007390781074897734,1.0,0.0,0.5,0,1.0,0.0,0.5625,1.0,0.006254931641728533,1.0,0.0,0.5625,0,1.0,0.0
4,0.5091324200913242,0.7604166666666666,0.04550767246170267,0.5121527777777778,0.2482638888888889,0.4915254237288136,0.5454545454545454,0.5276752767527675,0.2591362126245847,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
5,0.5252525252525253,0.515625,0.08257128341845595,0.2013888888888889,0.3142361111111111,0.4827586206896552,0.5524861878453039,0.2029520295202952,0.3289036544850498,0.5,1.0,-0.0007390781074897734,0.0,1.0,0,0.5,0.0,1.0,0.4375,1.0,-0.006254931641728533,0.0,1.0,0,0.4375,0.0,1.0
6,0.5044642857142857,0.7777777777777778,-0.011478212447595018,0.21354166666666666,0.5642361111111112,0.44715447154471544,0.5261538461538462,0.2029520295202952,0.5581395348837209,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
7,0.5161290322580645,0.484375,-0.03194009093106949,0.22743055555555555,0.2569444444444444,0.4732824427480916,0.5540540540540541,0.22878228782287824,0.26245847176079734,0.5,1.0,-0.0007390781074897734,0.0,1.0,0,0.5,0.0,1.0,0.4375,1.0,-0.006254931641728533,0.0,1.0,0,0.4375,0.0,1.0
8,0.5518763796909493,0.7864583333333334,0.029576348894825712,0.24479166666666666,0.5416666666666666,0.5673758865248227,0.5448717948717948,0.2952029520295203,0.5514950166112956,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
9,0.508833922261484,0.4913194444444444,-0.02093382040445102,0.2013888888888889,0.2899305555555556,0.49137931034482757,0.5209580838323353,0.2066420664206642,0.2857142857142857,0.5,1.0,0.0007390781074897734,1.0,0.0,0.5,0,1.0,0.0,0.5625,1.0,0.006254931641728533,1.0,0.0,0.5625,0,1.0,0.0
10,0.5,0.78125,0.03945577621367975,0.5173611111111112,0.2638888888888889,0.47651006711409394,0.5460526315789473,0.5166051660516605,0.2724252491694352,0.5,1.0,0.0007390781074897734,1.0,0.0,0.5,0,1.0,0.0,0.5625,1.0,0.006254931641728533,1.0,0.0,0.5625,0,1.0,0.0
11,0.5194805194805194,0.8020833333333334,0.0399960117676759,0.5243055555555556,0.2777777777777778,0.48344370860927155,0.5875,0.5313653136531366,0.3089700996677741,0.5,1.0,-0.0007390781074897734,0.0,1.0,0,0.5,0.0,1.0,0.4375,1.0,-0.006254931641728533,0.0,1.0,0,0.4375,0.0,1.0
12,0.5189873417721519,0.8229166666666666,0.05370965111406378,0.2517361111111111,0.5711805555555556,0.503448275862069,0.5258358662613982,0.2693726937269373,0.5681063122923588,0.5,1.0,0.0007390781074897734,1.0,0.0,0.5,0,1.0,0.0,0.5625,1.0,0.006254931641728533,1.0,0.0,0.5625,0,1.0,0.0
13,0.5198237885462555,0.7881944444444444,-0.0029809237718589157,0.5173611111111112,0.2708333333333333,0.5033557046979866,0.5512820512820513,0.5498154981549815,0.27906976744186046,0.5,1.0,-0.0007390781074897734,0.0,1.0,0,0.5,0.0,1.0,0.4375,1.0,-0.006254931641728533,0.0,1.0,0,0.4375,0.0,1.0
14,0.5118279569892473,0.8072916666666666,0.04452119629546811,0.2378472222222222,0.5694444444444444,0.5036496350364964,0.5152439024390244,0.24354243542435425,0.5581395348837209,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
15,0.49,0.5208333333333334,-0.03680430111822745,0.22569444444444445,0.2951388888888889,0.4461538461538462,0.5235294117647059,0.21033210332103322,0.292358803986711,0.5,1.0,-0.0007390781074897734,0.0,1.0,0,0.5,0.0,1.0,0.4375,1.0,-0.006254931641728533,0.0,1.0,0,0.4375,0.0,1.0
16,0.48148148148148145,0.796875,-0.07765299052962231,0.2552083333333333,0.5416666666666666,0.4557823129251701,0.4935897435897436,0.24354243542435425,0.5049833887043189,0.5,1.0,-0.0007390781074897734,0.0,1.0,0,0.5,0.0,1.0,0.4375,1.0,-0.006254931641728533,0.0,1.0,0,0.4375,0.0,1.0
17,0.5021929824561403,0.7916666666666666,-0.0921912911424349,0.2170138888888889,0.5746527777777778,0.456,0.5196374622356495,0.21033210332103322,0.5614617940199336,0.5,1.0,-0.0007390781074897734,0.0,1.0,0,0.5,0.0,1.0,0.4375,1.0,-0.006254931641728533,0.0,1.0,0,0.4375,0.0,1.0
18,0.4978448275862069,0.8055555555555556,-0.03326201984236359,0.22743055555555555,0.578125,0.45038167938931295,0.5165165165165165,0.21033210332103322,0.5647840531561462,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
19,0.49049429657794674,0.4565972222222222,-0.019858239684011302,0.1857638888888889,0.2708333333333333,0.4766355140186916,0.5,0.1881918819188192,0.25249169435215946,0.5,1.0,-0.0007390781074897734,0.0,1.0,0,0.5,0.0,1.0,0.4375,1.0,-0.006254931641728533,0.0,1.0,0,0.4375,0.0,1.0
20,0.48660714285714285,0.7777777777777778,0.027410149612174254,0.22569444444444445,0.5520833333333334,0.46153846153846156,0.4968553459119497,0.22140221402214022,0.521594684385382,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
21,0.5033783783783784,0.5138888888888888,0.018768969083349834,0.2326388888888889,0.28125,0.44776119402985076,0.5493827160493827,0.22140221402214022,0.28903654485049834,0.5,1.0,0.0007390781074897734,1.0,0.0,0.5,0,1.0,0.0,0.5625,1.0,0.006254931641728533,1.0,0.0,0.5625,0,1.0,0.0
22,0.5180995475113123,0.7673611111111112,-0.0027121314318689516,0.4965277777777778,0.2708333333333333,0.4965034965034965,0.5576923076923077,0.5166051660516605,0.28903654485049834,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
23,0.5379310344827586,0.5034722222222222,0.0714765913958737,0.19618055555555555,0.3072916666666667,0.5221238938053098,0.5480225988700564,0.21033210332103322,0.31893687707641194,0.5,1.0,-0.0007390781074897734,0.0,1.0,0,0.5,0.0,1.0,0.4375,1.0,-0.006254931641728533,0.0,1.0,0,0.4375,0.0,1.0
24,0.5085836909871244,0.8090277777777778,0.038307264695174544,0.2517361111111111,0.5572916666666666,0.4689655172413793,0.5264797507788161,0.25092250922509224,0.5581395348837209,0.5,1.0,-0.0007390781074897734,0.0,1.0,0,0.5,0.0,1.0,0.4375,1.0,-0.006254931641728533,0.0,1.0,0,0.4375,0.0,1.0
25,0.5280898876404494,0.7725694444444444,0.018141103940826863,0.2517361111111111,0.5208333333333334,0.4896551724137931,0.5466666666666666,0.25830258302583026,0.5348837209302325,0.5,1.0,0.0007390781074897734,1.0,0.0,0.5,0,1.0,0.0,0.5625,1.0,0.006254931641728533,1.0,0.0,0.5625,0,1.0,0.0
26,0.5074309978768577,0.8177083333333334,0.03456593564265968,0.5538194444444444,0.2638888888888889,0.49216300940438873,0.5394736842105263,0.5756457564575646,0.26578073089701,0.5,1.0,-0.0007390781074897734,0.0,1.0,0,0.5,0.0,1.0,0.4375,1.0,-0.006254931641728533,0.0,1.0,0,0.4375,0.0,1.0
27,0.5212765957446809,0.8159722222222222,0.06638171737860728,0.2569444444444444,0.5590277777777778,0.4864864864864865,0.5372670807453416,0.2656826568265683,0.5681063122923588,0.5,1.0,0.0007390781074897734,1.0,0.0,0.5,0,1.0,0.0,0.5625,1.0,0.006254931641728533,1.0,0.0,0.5625,0,1.0,0.0
