Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.5223529411764706,0.7378472222222222,0.039527356429363655,0.4114583333333333,0.3263888888888889,0.48523206751054854,0.5691489361702128,0.4185185185185185,0.347682119205298,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
1,0.5285714285714286,0.4861111111111111,0.004132214240325452,0.2204861111111111,0.265625,0.5039370078740157,0.5490196078431373,0.23703703703703705,0.271523178807947,0.8,0.10416666666666667,0.005132375130658409,0.10416666666666667,0.0,0.8,0,0.13793103448275862,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
2,0.48464163822525597,0.5086805555555556,-0.043866175213050466,0.2309027777777778,0.2777777777777778,0.46616541353383456,0.5,0.22962962962962963,0.2582781456953642,0.3958333333333333,1.0,-0.012731213061440344,0.0,1.0,0,0.3958333333333333,0.0,1.0,0.5208333333333334,1.0,0.024451051298388912,0.0,1.0,0,0.5208333333333334,0.0,1.0
3,0.49217002237136465,0.7760416666666666,-0.12461460194528987,0.1996527777777778,0.5763888888888888,0.41739130434782606,0.5180722891566265,0.17407407407407408,0.5662251655629139,1.0,0.020833333333333332,0.0020848805891353055,0.020833333333333332,0.0,1.0,0,0.034482758620689655,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
4,0.5209125475285171,0.4565972222222222,0.0074712308461917076,0.1892361111111111,0.2673611111111111,0.45871559633027525,0.564935064935065,0.1814814814814815,0.2847682119205298,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
5,0.4562043795620438,0.4756944444444444,-0.07570786754133516,0.1909722222222222,0.2847222222222222,0.41818181818181815,0.4817073170731707,0.16666666666666666,0.25496688741721857,0.6041666666666666,1.0,0.012731213061440344,1.0,0.0,0.6041666666666666,0,1.0,0.0,0.5,1.0,-0.024451051298388912,1.0,0.0,0.5,0,1.0,0.0
6,0.4954337899543379,0.7604166666666666,-0.0762482644908264,0.5086805555555556,0.2517361111111111,0.46757679180887374,0.5517241379310345,0.5037037037037037,0.2582781456953642,0.3958333333333333,1.0,-0.012731213061440344,0.0,1.0,0,0.3958333333333333,0.0,1.0,0.5208333333333334,1.0,0.024451051298388912,0.0,1.0,0,0.5208333333333334,0.0,1.0
7,0.5011933174224343,0.7274305555555556,0.00886445223627298,0.171875,0.5555555555555556,0.4444444444444444,0.51875,0.16296296296296298,0.5397350993377483,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
8,0.48736462093862815,0.4809027777777778,-0.058681558398913446,0.2013888888888889,0.2795138888888889,0.47413793103448276,0.4968944099378882,0.1962962962962963,0.26490066225165565,0.3958333333333333,1.0,-0.012731213061440344,0.0,1.0,0,0.3958333333333333,0.0,1.0,0.5208333333333334,1.0,0.024451051298388912,0.0,1.0,0,0.5208333333333334,0.0,1.0
9,0.5164319248826291,0.7395833333333334,-0.006828038374588673,0.20833333333333334,0.53125,0.48333333333333334,0.5294117647058824,0.2037037037037037,0.5331125827814569,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
