Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.48148148148148145,0.703125,-0.08135138661068016,0.453125,0.25,0.4559386973180077,0.5277777777777778,0.43866171003717475,0.25,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
1,0.472,0.4340277777777778,-0.062257663907291,0.24479166666666666,0.1892361111111111,0.46099290780141844,0.48623853211009177,0.2379182156133829,0.17434210526315788,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
2,0.5482758620689655,0.5034722222222222,0.16520317781252727,0.2743055555555556,0.22916666666666666,0.5506329113924051,0.5454545454545454,0.32342007434944237,0.23355263157894737,0.375,1.0,-0.035425970664839254,1.0,0.0,0.375,0,1.0,0.0,0.5833333333333334,1.0,-0.004696701018557119,1.0,0.0,0.5833333333333334,0,1.0,0.0
3,0.4714285714285714,0.7291666666666666,-0.09637426817943309,0.5711805555555556,0.1579861111111111,0.45896656534954405,0.5164835164835165,0.5539033457249071,0.15460526315789475,0.375,1.0,-0.035425970664839254,1.0,0.0,0.375,0,1.0,0.0,0.5833333333333334,1.0,-0.004696701018557119,1.0,0.0,0.5833333333333334,0,1.0,0.0
4,0.47877358490566035,0.7361111111111112,-0.0037003210041577543,0.5451388888888888,0.1909722222222222,0.46496815286624205,0.5181818181818182,0.5427509293680297,0.18421052631578946,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
5,0.498220640569395,0.4878472222222222,0.011758519298024737,0.3142361111111111,0.1736111111111111,0.4972375690607735,0.5,0.3308550185873606,0.16447368421052633,0.6458333333333334,1.0,0.035425970664839254,0.0,1.0,0,0.6458333333333334,0.0,1.0,0.375,1.0,-0.0015522019128098906,0.041666666666666664,0.9583333333333334,0.0,0.391304347826087,0.0,0.9
6,0.5232815964523282,0.7829861111111112,0.1527130751757809,0.2621527777777778,0.5208333333333334,0.4966887417218543,0.5366666666666666,0.26765799256505574,0.5296052631578947,0.6458333333333334,1.0,0.035425970664839254,0.0,1.0,0,0.6458333333333334,0.0,1.0,0.4166666666666667,1.0,0.004696701018557119,0.0,1.0,0,0.4166666666666667,0.0,1.0
7,0.5432900432900433,0.8020833333333334,0.1583784668321019,0.2760416666666667,0.5260416666666666,0.5094339622641509,0.5610561056105611,0.30111524163568776,0.555921052631579,0.6458333333333334,1.0,0.035425970664839254,0.0,1.0,0,0.6458333333333334,0.0,1.0,0.4166666666666667,1.0,0.004696701018557119,0.0,1.0,0,0.4166666666666667,0.0,1.0
8,0.49572649572649574,0.8125,-0.10196956842373095,0.296875,0.515625,0.4678362573099415,0.5117845117845118,0.2899628252788104,0.4967105263157895,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
9,0.5384615384615384,0.4965277777777778,0.08282211695046128,0.265625,0.2309027777777778,0.5163398692810458,0.5639097744360902,0.2899628252788104,0.24342105263157895,0.375,1.0,-0.035425970664839254,1.0,0.0,0.375,0,1.0,0.0,0.5833333333333334,1.0,-0.004696701018557119,1.0,0.0,0.5833333333333334,0,1.0,0.0
