Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.5318066157760815,0.6822916666666666,-0.0015197319359125296,0.4739583333333333,0.20833333333333334,0.5164835164835165,0.5666666666666667,0.5111111111111111,0.2251655629139073,0.4375,1.0,0.007862789548371961,0.0,1.0,0,0.4375,0.0,1.0,0.75,1.0,0.011958046452124192,0.0,1.0,0,0.75,0.0,1.0
1,0.49885057471264366,0.7552083333333334,3.228701633906615e-05,0.19791666666666666,0.5572916666666666,0.45614035087719296,0.514018691588785,0.18888888888888888,0.5364238410596026,0.425531914893617,0.9791666666666666,0.0014274911807198396,0.0,0.9791666666666666,0,0.425531914893617,0.0,0.9523809523809523,0.75,1.0,0.011958046452124192,0.0,1.0,0,0.75,0.0,1.0
2,0.48711943793911006,0.7413194444444444,-0.04371209420920971,0.2013888888888889,0.5399305555555556,0.45689655172413796,0.4983922829581994,0.1925925925925926,0.5033112582781457,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
3,0.4742647058823529,0.4722222222222222,-0.04680154136607238,0.19444444444444445,0.2777777777777778,0.42857142857142855,0.50625,0.17777777777777778,0.26158940397350994,0.4375,1.0,0.007862789548371961,0.0,1.0,0,0.4375,0.0,1.0,0.75,1.0,0.011958046452124192,0.0,1.0,0,0.75,0.0,1.0
4,0.49772727272727274,0.7638888888888888,-0.006553479120585222,0.19791666666666666,0.5659722222222222,0.43859649122807015,0.5184049079754601,0.18518518518518517,0.5529801324503312,0.5416666666666666,1.0,-0.004966454497452648,0.8541666666666666,0.14583333333333334,0.5609756097560976,0.42857142857142855,0.8518518518518519,0.14285714285714285,0.3333333333333333,1.0,0.015867637380108653,0.8333333333333334,0.16666666666666666,0.25,0.75,0.8333333333333334,0.16666666666666666
5,0.4897959183673469,0.765625,0.0503882566286602,0.4565972222222222,0.3090277777777778,0.4714828897338403,0.5168539325842697,0.45555555555555555,0.30132450331125826,0.5625,1.0,-0.007862789548371961,1.0,0.0,0.5625,0,1.0,0.0,0.25,1.0,-0.011958046452124192,1.0,0.0,0.25,0,1.0,0.0
6,0.521551724137931,0.8055555555555556,0.0017567507511102014,0.4913194444444444,0.3142361111111111,0.5017667844522968,0.5524861878453039,0.5185185185185185,0.32450331125827814,0.5625,1.0,-0.007862789548371961,1.0,0.0,0.5625,0,1.0,0.0,0.25,1.0,-0.011958046452124192,1.0,0.0,0.25,0,1.0,0.0
7,0.4911504424778761,0.7847222222222222,-0.03642029878209879,0.5034722222222222,0.28125,0.4689655172413793,0.5308641975308642,0.4962962962962963,0.2814569536423841,0.4375,1.0,0.007862789548371961,0.0,1.0,0,0.4375,0.0,1.0,0.75,1.0,0.011958046452124192,0.0,1.0,0,0.75,0.0,1.0
8,0.548926014319809,0.7274305555555556,0.08633209606889526,0.19270833333333334,0.5347222222222222,0.5135135135135135,0.5616883116883117,0.2074074074074074,0.5662251655629139,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
9,0.5098814229249012,0.4392361111111111,-0.002463745884712855,0.1996527777777778,0.23958333333333334,0.4782608695652174,0.5362318840579711,0.2,0.23841059602649006,0.4375,1.0,0.007862789548371961,0.0,1.0,0,0.4375,0.0,1.0,0.75,1.0,0.011958046452124192,0.0,1.0,0,0.75,0.0,1.0
10,0.5152173913043478,0.7986111111111112,-0.016291208390652685,0.21006944444444445,0.5885416666666666,0.48760330578512395,0.5250737463126843,0.21481481481481482,0.5827814569536424,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
11,0.5236486486486487,0.5138888888888888,0.022409505472710978,0.2204861111111111,0.2934027777777778,0.5039370078740157,0.5384615384615384,0.22962962962962963,0.30132450331125826,0.4375,1.0,0.007862789548371961,0.0,1.0,0,0.4375,0.0,1.0,0.75,1.0,0.011958046452124192,0.0,1.0,0,0.75,0.0,1.0
12,0.49137931034482757,0.8055555555555556,0.005083075422601762,0.20833333333333334,0.5972222222222222,0.425,0.5145348837209303,0.18518518518518517,0.5794701986754967,0.4375,1.0,0.007862789548371961,0.0,1.0,0,0.4375,0.0,1.0,0.75,1.0,0.011958046452124192,0.0,1.0,0,0.75,0.0,1.0
13,0.5,0.7881944444444444,0.04462567670554464,0.2604166666666667,0.5277777777777778,0.44666666666666666,0.5263157894736842,0.24444444444444444,0.5264900662251656,0.4375,1.0,0.007862789548371961,0.0,1.0,0,0.4375,0.0,1.0,0.75,1.0,0.011958046452124192,0.0,1.0,0,0.75,0.0,1.0
14,0.5414012738853503,0.8177083333333334,0.026385887625722873,0.2065972222222222,0.6111111111111112,0.5210084033613446,0.5482954545454546,0.22962962962962963,0.6258278145695364,0.4375,1.0,0.007862789548371961,0.0,1.0,0,0.4375,0.0,1.0,0.75,1.0,0.011958046452124192,0.0,1.0,0,0.75,0.0,1.0
15,0.5164835164835165,0.7899305555555556,0.05005793081873499,0.1892361111111111,0.6006944444444444,0.44954128440366975,0.5375722543352601,0.17777777777777778,0.6059602649006622,0.5625,1.0,-0.007862789548371961,1.0,0.0,0.5625,0,1.0,0.0,0.25,1.0,-0.011958046452124192,1.0,0.0,0.25,0,1.0,0.0
16,0.4945770065075922,0.8003472222222222,0.02029640525900888,0.5034722222222222,0.296875,0.4724137931034483,0.5321637426900585,0.5,0.30132450331125826,0.5625,1.0,-0.007862789548371961,1.0,0.0,0.5625,0,1.0,0.0,0.25,1.0,-0.011958046452124192,1.0,0.0,0.25,0,1.0,0.0
17,0.5109649122807017,0.7916666666666666,-0.08324183333192968,0.4774305555555556,0.3142361111111111,0.48727272727272725,0.5469613259668509,0.4925925925925926,0.3211920529801324,0.4375,1.0,0.007862789548371961,0.0,1.0,0,0.4375,0.0,1.0,0.75,1.0,0.011958046452124192,0.0,1.0,0,0.75,0.0,1.0
18,0.49019607843137253,0.796875,0.05883719999039403,0.24479166666666666,0.5520833333333334,0.4326241134751773,0.5157232704402516,0.22592592592592592,0.5331125827814569,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
19,0.44481605351170567,0.5190972222222222,-0.023302917599408314,0.24479166666666666,0.2743055555555556,0.4326241134751773,0.45569620253164556,0.21851851851851853,0.23509933774834438,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
20,0.48333333333333334,0.5208333333333334,0.012448391180958045,0.19618055555555555,0.3246527777777778,0.4336283185840708,0.5133689839572193,0.17407407407407408,0.31788079470198677,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
21,0.4854368932038835,0.5364583333333334,0.018125191028717465,0.22395833333333334,0.3125,0.4263565891472868,0.5277777777777778,0.2037037037037037,0.31125827814569534,0.5625,1.0,-0.007862789548371961,1.0,0.0,0.5625,0,1.0,0.0,0.25,1.0,-0.011958046452124192,1.0,0.0,0.25,0,1.0,0.0
22,0.5263157894736842,0.7586805555555556,0.04223136434963465,0.4861111111111111,0.2725694444444444,0.5071428571428571,0.5605095541401274,0.5222222222222223,0.2847682119205298,0.4375,1.0,0.007862789548371961,0.0,1.0,0,0.4375,0.0,1.0,0.75,1.0,0.011958046452124192,0.0,1.0,0,0.75,0.0,1.0
23,0.5307855626326964,0.8177083333333334,0.09967064905611152,0.2361111111111111,0.5815972222222222,0.5073529411764706,0.5402985074626866,0.2518518518518518,0.5894039735099338,0.4375,1.0,0.007862789548371961,0.0,1.0,0,0.4375,0.0,1.0,0.75,1.0,0.011958046452124192,0.0,1.0,0,0.75,0.0,1.0
24,0.5043103448275862,0.8055555555555556,-0.01610981507689161,0.2013888888888889,0.6041666666666666,0.3879310344827586,0.5431034482758621,0.16666666666666666,0.6158940397350994,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
