Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.49653579676674364,0.7517361111111112,-0.004633316372477479,0.4548611111111111,0.296875,0.4732824427480916,0.5321637426900585,0.44649446494464945,0.3,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
1,0.5109489051094891,0.4756944444444444,-0.021977464992475708,0.22743055555555555,0.2482638888888889,0.4732824427480916,0.5454545454545454,0.22509225092250923,0.26,0.3541666666666667,1.0,-0.019069292690751596,1.0,0.0,0.3541666666666667,0,1.0,0.0,0.4375,1.0,-0.004250452873402753,1.0,0.0,0.4375,0,1.0,0.0
2,0.5158371040723982,0.7673611111111112,-0.02125330338835657,0.5173611111111112,0.25,0.5100671140939598,0.5277777777777778,0.5535055350553506,0.25,0.3541666666666667,1.0,-0.019069292690751596,1.0,0.0,0.3541666666666667,0,1.0,0.0,0.4375,1.0,-0.004250452873402753,1.0,0.0,0.4375,0,1.0,0.0
3,0.5242290748898678,0.7881944444444444,0.17493951345652883,0.5173611111111112,0.2708333333333333,0.5,0.5705128205128205,0.5424354243542435,0.29,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
4,0.44594594594594594,0.5138888888888888,-0.03517476390305015,0.21180555555555555,0.3020833333333333,0.3442622950819672,0.5172413793103449,0.15129151291512916,0.2966666666666667,0.6458333333333334,1.0,0.019069292690751596,0.0,1.0,0,0.6458333333333334,0.0,1.0,0.5625,1.0,0.004250452873402753,0.0,1.0,0,0.5625,0.0,1.0
5,0.5167037861915368,0.7795138888888888,0.056620315299898534,0.2065972222222222,0.5729166666666666,0.47058823529411764,0.5333333333333333,0.2066420664206642,0.5733333333333334,0.3541666666666667,1.0,-0.019069292690751596,1.0,0.0,0.3541666666666667,0,1.0,0.0,0.4375,1.0,-0.004250452873402753,1.0,0.0,0.4375,0,1.0,0.0
6,0.5011494252873563,0.7552083333333334,-0.04065414024325551,0.4982638888888889,0.2569444444444444,0.4843205574912892,0.5337837837837838,0.5018450184501845,0.26,0.3541666666666667,1.0,-0.019069292690751596,1.0,0.0,0.3541666666666667,0,1.0,0.0,0.4375,1.0,-0.004250452873402753,1.0,0.0,0.4375,0,1.0,0.0
7,0.5044052863436124,0.7881944444444444,0.02022297916750472,0.5260416666666666,0.2621527777777778,0.48184818481848185,0.5496688741721855,0.5239852398523985,0.27666666666666667,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
8,0.493006993006993,0.4965277777777778,-0.0009521750870365301,0.21354166666666666,0.2829861111111111,0.4796747967479675,0.5030674846625767,0.2177121771217712,0.27,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
9,0.5160142348754448,0.4878472222222222,0.06178878707305342,0.21875,0.2690972222222222,0.48412698412698413,0.5419354838709678,0.2177121771217712,0.27666666666666667,0.6458333333333334,1.0,0.019069292690751596,0.0,1.0,0,0.6458333333333334,0.0,1.0,0.5625,1.0,0.004250452873402753,0.0,1.0,0,0.5625,0.0,1.0
10,0.5074309978768577,0.8177083333333334,0.054884224813038826,0.234375,0.5833333333333334,0.4666666666666667,0.5238095238095238,0.22878228782287824,0.5766666666666667,0.3541666666666667,1.0,-0.019069292690751596,1.0,0.0,0.3541666666666667,0,1.0,0.0,0.4375,1.0,-0.004250452873402753,1.0,0.0,0.4375,0,1.0,0.0
11,0.5169491525423728,0.8194444444444444,0.043450800692198345,0.5208333333333334,0.2986111111111111,0.49333333333333335,0.5581395348837209,0.5387453874538746,0.31333333333333335,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
12,0.5406360424028268,0.4913194444444444,0.08240810334489843,0.2222222222222222,0.2690972222222222,0.4921875,0.5806451612903226,0.22509225092250923,0.2966666666666667,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
13,0.5737704918032787,0.5295138888888888,0.14920256821058991,0.2170138888888889,0.3125,0.52,0.6111111111111112,0.23985239852398524,0.36,0.6458333333333334,1.0,0.019069292690751596,0.0,1.0,0,0.6458333333333334,0.0,1.0,0.5625,1.0,0.004250452873402753,0.0,1.0,0,0.5625,0.0,1.0
14,0.5087719298245614,0.7916666666666666,-0.031216300300198778,0.2170138888888889,0.5746527777777778,0.472,0.5226586102719033,0.21033210332103322,0.57,0.3541666666666667,1.0,-0.019069292690751596,1.0,0.0,0.3541666666666667,0,1.0,0.0,0.4375,1.0,-0.004250452873402753,1.0,0.0,0.4375,0,1.0,0.0
15,0.5483193277310925,0.8263888888888888,0.19813544429402075,0.53125,0.2951388888888889,0.5163398692810458,0.6058823529411764,0.5756457564575646,0.33666666666666667,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
16,0.5615141955835962,0.5503472222222222,0.07196655388209,0.2326388888888889,0.3177083333333333,0.5149253731343284,0.5956284153005464,0.24723247232472326,0.36333333333333334,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
17,0.5075987841945289,0.5711805555555556,0.049322823463178816,0.2604166666666667,0.3107638888888889,0.4666666666666667,0.5418994413407822,0.25830258302583026,0.31,0.6458333333333334,1.0,0.019069292690751596,0.0,1.0,0,0.6458333333333334,0.0,1.0,0.5625,1.0,0.004250452873402753,0.0,1.0,0,0.5625,0.0,1.0
