Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.475177304964539,0.734375,-0.02689141975579515,0.3680555555555556,0.3663194444444444,0.4386792452830189,0.5118483412322274,0.3474903474903475,0.34615384615384615,0.5208333333333334,1.0,-0.007818860139190913,0.0,1.0,0,0.5208333333333334,0.0,1.0,0.5,1.0,0.005393797331256121,0.0,1.0,0,0.5,0.0,1.0
1,0.5162790697674419,0.7465277777777778,0.02289485657394092,0.19444444444444445,0.5520833333333334,0.4642857142857143,0.5345911949685535,0.1969111969111969,0.5352564102564102,0.5208333333333334,1.0,-0.007818860139190913,0.0,1.0,0,0.5208333333333334,0.0,1.0,0.5,1.0,0.005393797331256121,0.0,1.0,0,0.5,0.0,1.0
2,0.5444444444444444,0.78125,0.1075869568575072,0.1892361111111111,0.5920138888888888,0.48623853211009177,0.5630498533724341,0.20077220077220076,0.6025641025641025,0.5208333333333334,1.0,-0.007818860139190913,0.0,1.0,0,0.5208333333333334,0.0,1.0,0.5,1.0,0.005393797331256121,0.0,1.0,0,0.5,0.0,1.0
3,0.5400943396226415,0.7361111111111112,0.013489134721052332,0.16493055555555555,0.5711805555555556,0.4421052631578947,0.5683890577507599,0.15444015444015444,0.592948717948718,0.5208333333333334,1.0,-0.007818860139190913,0.0,1.0,0,0.5208333333333334,0.0,1.0,0.5,1.0,0.005393797331256121,0.0,1.0,0,0.5,0.0,1.0
4,0.49107142857142855,0.7777777777777778,0.01759547127766857,0.17881944444444445,0.5989583333333334,0.4174757281553398,0.5130434782608696,0.16602316602316602,0.5576923076923077,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
5,0.4946236559139785,0.484375,0.017361966967374593,0.1579861111111111,0.3263888888888889,0.43956043956043955,0.5212765957446809,0.15057915057915058,0.30448717948717946,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
6,0.5277777777777778,0.5,0.01081956095150879,0.171875,0.328125,0.494949494949495,0.544973544973545,0.1891891891891892,0.32371794871794873,0.5208333333333334,1.0,-0.007818860139190913,0.0,1.0,0,0.5208333333333334,0.0,1.0,0.5,1.0,0.005393797331256121,0.0,1.0,0,0.5,0.0,1.0
7,0.5427350427350427,0.8125,0.1161850876622833,0.17881944444444445,0.6336805555555556,0.4854368932038835,0.5589041095890411,0.1891891891891892,0.6442307692307693,0.4791666666666667,1.0,0.007818860139190913,1.0,0.0,0.4791666666666667,0,1.0,0.0,0.5,1.0,-0.005393797331256121,1.0,0.0,0.5,0,1.0,0.0
8,0.4758771929824561,0.7916666666666666,-0.05066020843821441,0.4809027777777778,0.3107638888888889,0.44765342960288806,0.5195530726256983,0.47104247104247104,0.2916666666666667,0.4791666666666667,1.0,0.007818860139190913,1.0,0.0,0.4791666666666667,0,1.0,0.0,0.5,1.0,-0.005393797331256121,1.0,0.0,0.5,0,1.0,0.0
9,0.46017699115044247,0.7847222222222222,-0.11030482955752277,0.4774305555555556,0.3072916666666667,0.41454545454545455,0.5310734463276836,0.43243243243243246,0.2980769230769231,0.5208333333333334,1.0,-0.007818860139190913,0.0,1.0,0,0.5208333333333334,0.0,1.0,0.5,1.0,0.005393797331256121,0.0,1.0,0,0.5,0.0,1.0
10,0.5214592274678111,0.8090277777777778,-0.016559004676868334,0.21875,0.5902777777777778,0.4603174603174603,0.5441176470588235,0.22007722007722008,0.5833333333333334,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
11,0.5316901408450704,0.4930555555555556,-0.01705029387539194,0.16145833333333334,0.3315972222222222,0.5376344086021505,0.5287958115183246,0.18532818532818532,0.32051282051282054,0.5208333333333334,1.0,-0.007818860139190913,0.0,1.0,0,0.5208333333333334,0.0,1.0,0.5,1.0,0.005393797331256121,0.0,1.0,0,0.5,0.0,1.0
12,0.5264367816091954,0.7552083333333334,0.02514948045156662,0.17881944444444445,0.5763888888888888,0.46601941747572817,0.5451807228915663,0.18146718146718147,0.5737179487179487,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
13,0.5247524752475248,0.5260416666666666,0.011548184094934496,0.1875,0.3385416666666667,0.46296296296296297,0.558974358974359,0.19305019305019305,0.34935897435897434,0.5208333333333334,1.0,-0.007818860139190913,0.0,1.0,0,0.5208333333333334,0.0,1.0,0.5,1.0,0.005393797331256121,0.0,1.0,0,0.5,0.0,1.0
14,0.5477707006369427,0.8177083333333334,0.14404806807227605,0.21006944444444445,0.6076388888888888,0.4793388429752066,0.5714285714285714,0.22007722007722008,0.6314102564102564,0.5208333333333334,1.0,-0.007818860139190913,0.0,1.0,0,0.5208333333333334,0.0,1.0,0.5,1.0,0.005393797331256121,0.0,1.0,0,0.5,0.0,1.0
15,0.5254237288135594,0.8194444444444444,0.02118246962577753,0.2204861111111111,0.5989583333333334,0.4566929133858268,0.5507246376811594,0.22393822393822393,0.5993589743589743,0.4791666666666667,1.0,0.007818860139190913,1.0,0.0,0.4791666666666667,0,1.0,0.0,0.5,1.0,-0.005393797331256121,1.0,0.0,0.5,0,1.0,0.0
16,0.5086580086580087,0.8020833333333334,-0.0008489050740675417,0.4774305555555556,0.3246527777777778,0.46545454545454545,0.5721925133689839,0.4864864864864865,0.33653846153846156,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
17,0.5316455696202531,0.5486111111111112,0.09733201824908015,0.2152777777777778,0.3333333333333333,0.47580645161290325,0.5677083333333334,0.22393822393822393,0.34294871794871795,0.5208333333333334,1.0,-0.007818860139190913,0.0,1.0,0,0.5208333333333334,0.0,1.0,0.5,1.0,0.005393797331256121,0.0,1.0,0,0.5,0.0,1.0
18,0.519650655021834,0.7951388888888888,0.05253939978714515,0.2222222222222222,0.5729166666666666,0.4609375,0.5424242424242425,0.21621621621621623,0.5673076923076923,0.5208333333333334,1.0,-0.007818860139190913,0.0,1.0,0,0.5208333333333334,0.0,1.0,0.5,1.0,0.005393797331256121,0.0,1.0,0,0.5,0.0,1.0
19,0.532608695652174,0.7986111111111112,0.08686761681168538,0.17708333333333334,0.6215277777777778,0.43137254901960786,0.5614525139664804,0.16988416988416988,0.6346153846153846,0.5208333333333334,1.0,-0.007818860139190913,0.0,1.0,0,0.5208333333333334,0.0,1.0,0.5,1.0,0.005393797331256121,0.0,1.0,0,0.5,0.0,1.0
