Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.5197215777262181,0.7482638888888888,0.0385384195025599,0.5086805555555556,0.23958333333333334,0.515358361774744,0.5289855072463768,0.5212765957446809,0.2517241379310345,0.4166666666666667,1.0,-0.02004358396836712,1.0,0.0,0.4166666666666667,0,1.0,0.0,0.4375,1.0,-0.0010399292008262374,1.0,0.0,0.4375,0,1.0,0.0
1,0.48735632183908045,0.7552083333333334,-0.04013902679500109,0.5572916666666666,0.19791666666666666,0.48598130841121495,0.49122807017543857,0.5460992907801419,0.1896551724137931,0.4166666666666667,1.0,-0.02004358396836712,1.0,0.0,0.4166666666666667,0,1.0,0.0,0.4375,1.0,-0.0010399292008262374,1.0,0.0,0.4375,0,1.0,0.0
2,0.45958429561200925,0.7517361111111112,-0.040313989562761006,0.5555555555555556,0.19618055555555555,0.471875,0.4247787610619469,0.5283687943262412,0.16551724137931034,0.4166666666666667,1.0,-0.02004358396836712,1.0,0.0,0.4166666666666667,0,1.0,0.0,0.4375,1.0,-0.0010399292008262374,1.0,0.0,0.4375,0,1.0,0.0
3,0.47368421052631576,0.7586805555555556,-0.06393791278945234,0.5538194444444444,0.2048611111111111,0.4608150470219436,0.5084745762711864,0.5106382978723404,0.20344827586206896,0.5833333333333334,1.0,0.02004358396836712,0.0,1.0,0,0.5833333333333334,0.0,1.0,0.5625,1.0,0.0010399292008262374,0.0,1.0,0,0.5625,0.0,1.0
4,0.5251798561151079,0.7239583333333334,0.07236828264011362,0.2708333333333333,0.453125,0.5128205128205128,0.5325670498084292,0.2801418439716312,0.4689655172413793,0.5833333333333334,1.0,0.02004358396836712,0.0,1.0,0,0.5833333333333334,0.0,1.0,0.5625,1.0,0.0010399292008262374,0.0,1.0,0,0.5625,0.0,1.0
5,0.5067873303167421,0.7673611111111112,0.060047954993772856,0.2638888888888889,0.5034722222222222,0.4605263157894737,0.5310344827586206,0.24822695035460993,0.5206896551724138,0.5833333333333334,1.0,0.02004358396836712,0.0,1.0,0,0.5833333333333334,0.0,1.0,0.5625,1.0,0.0010399292008262374,0.0,1.0,0,0.5625,0.0,1.0
6,0.5032967032967033,0.7899305555555556,-0.037699100423052155,0.2795138888888889,0.5104166666666666,0.5031055900621118,0.5034013605442177,0.2872340425531915,0.503448275862069,0.4166666666666667,1.0,-0.02004358396836712,1.0,0.0,0.4166666666666667,0,1.0,0.0,0.4375,1.0,-0.0010399292008262374,1.0,0.0,0.4375,0,1.0,0.0
7,0.490280777537797,0.8038194444444444,-0.031475236814054904,0.5555555555555556,0.2482638888888889,0.478125,0.5174825174825175,0.5390070921985816,0.2517241379310345,0.4166666666666667,1.0,-0.02004358396836712,1.0,0.0,0.4166666666666667,0,1.0,0.0,0.4375,1.0,-0.0010399292008262374,1.0,0.0,0.4375,0,1.0,0.0
8,0.45964125560538116,0.7743055555555556,-0.10023738622821782,0.5833333333333334,0.1909722222222222,0.47023809523809523,0.42727272727272725,0.5567375886524822,0.15517241379310345,0.5833333333333334,1.0,0.02004358396836712,0.0,1.0,0,0.5833333333333334,0.0,1.0,0.5625,1.0,0.0010399292008262374,0.0,1.0,0,0.5625,0.0,1.0
9,0.5277161862527716,0.7829861111111112,-0.03619100971090135,0.2916666666666667,0.4913194444444444,0.5,0.5441696113074205,0.29432624113475175,0.5241379310344828,0.4166666666666667,1.0,-0.02004358396836712,1.0,0.0,0.4166666666666667,0,1.0,0.0,0.4375,1.0,-0.0010399292008262374,1.0,0.0,0.4375,0,1.0,0.0
