Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.48699763593380613,0.734375,0.0279817292753584,0.4913194444444444,0.24305555555555555,0.46996466431095407,0.5214285714285715,0.46785714285714286,0.24914675767918087,0.4166666666666667,1.0,-0.00729060785363605,1.0,0.0,0.4166666666666667,0,1.0,0.0,0.3333333333333333,1.0,-0.034527666234845864,1.0,0.0,0.3333333333333333,0,1.0,0.0
1,0.4489795918367347,0.765625,-0.05303292860622899,0.5850694444444444,0.18055555555555555,0.4658753709198813,0.3942307692307692,0.5571428571428572,0.13993174061433447,0.4166666666666667,1.0,-0.00729060785363605,1.0,0.0,0.4166666666666667,0,1.0,0.0,0.3333333333333333,1.0,-0.034527666234845864,1.0,0.0,0.3333333333333333,0,1.0,0.0
2,0.5240274599542334,0.7586805555555556,0.04493878212441243,0.5555555555555556,0.203125,0.515625,0.5470085470085471,0.5892857142857143,0.2150170648464164,0.4166666666666667,1.0,-0.00729060785363605,1.0,0.0,0.4166666666666667,0,1.0,0.0,0.3333333333333333,1.0,-0.034527666234845864,1.0,0.0,0.3333333333333333,0,1.0,0.0
3,0.48409090909090907,0.7638888888888888,-0.05392174029939556,0.5520833333333334,0.21180555555555555,0.4811320754716981,0.4918032786885246,0.5464285714285714,0.19795221843003413,0.5833333333333334,1.0,0.00729060785363605,0.0,1.0,0,0.5833333333333334,0.0,1.0,0.6666666666666666,1.0,0.034527666234845864,0.0,1.0,0,0.6666666666666666,0.0,1.0
4,0.49195402298850577,0.7552083333333334,0.01176610775612862,0.2847222222222222,0.4704861111111111,0.4573170731707317,0.5129151291512916,0.26071428571428573,0.47440273037542663,0.5833333333333334,1.0,0.00729060785363605,0.0,1.0,0,0.5833333333333334,0.0,1.0,0.6666666666666666,1.0,0.034527666234845864,0.0,1.0,0,0.6666666666666666,0.0,1.0
5,0.5137614678899083,0.7569444444444444,-0.007840367513995554,0.2673611111111111,0.4895833333333333,0.487012987012987,0.5283687943262412,0.26071428571428573,0.5051194539249146,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
6,0.5358361774744027,0.5086805555555556,0.0553516437984235,0.2934027777777778,0.2152777777777778,0.5384615384615384,0.532258064516129,0.3142857142857143,0.22525597269624573,0.4166666666666667,1.0,-0.00729060785363605,1.0,0.0,0.4166666666666667,0,1.0,0.0,0.3333333333333333,1.0,-0.034527666234845864,1.0,0.0,0.3333333333333333,0,1.0,0.0
7,0.5173160173160173,0.8020833333333334,0.057879739188916146,0.578125,0.22395833333333334,0.5075075075075075,0.5426356589147286,0.5964285714285714,0.23890784982935154,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
8,0.5591397849462365,0.484375,0.08944568664985598,0.2569444444444444,0.22743055555555555,0.5405405405405406,0.5801526717557252,0.2857142857142857,0.25597269624573377,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
9,0.5263157894736842,0.5277777777777778,0.062107702399566235,0.3159722222222222,0.21180555555555555,0.510989010989011,0.5491803278688525,0.33214285714285713,0.21843003412969283,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
10,0.5241379310344828,0.5034722222222222,-0.020483339983644926,0.3003472222222222,0.203125,0.5375722543352601,0.5042735042735043,0.32142857142857145,0.20136518771331058,0.4166666666666667,1.0,-0.00729060785363605,1.0,0.0,0.4166666666666667,0,1.0,0.0,0.3333333333333333,1.0,-0.034527666234845864,1.0,0.0,0.3333333333333333,0,1.0,0.0
11,0.5440528634361234,0.7881944444444444,0.1484572010746172,0.5920138888888888,0.19618055555555555,0.530791788856305,0.584070796460177,0.6428571428571429,0.22525597269624573,0.4166666666666667,1.0,-0.00729060785363605,1.0,0.0,0.4166666666666667,0,1.0,0.0,0.3333333333333333,1.0,-0.034527666234845864,1.0,0.0,0.3333333333333333,0,1.0,0.0
12,0.505175983436853,0.8385416666666666,0.14848125684684116,0.6024305555555556,0.2361111111111111,0.49855907780979825,0.5220588235294118,0.6107142857142858,0.23890784982935154,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
13,0.549520766773163,0.5434027777777778,0.1381522174291763,0.3038194444444444,0.23958333333333334,0.5657142857142857,0.5289855072463768,0.35,0.24573378839590443,0.4166666666666667,1.0,-0.00729060785363605,1.0,0.0,0.4166666666666667,0,1.0,0.0,0.3333333333333333,1.0,-0.034527666234845864,1.0,0.0,0.3333333333333333,0,1.0,0.0
14,0.48065173116089616,0.8524305555555556,-0.05632753267783154,0.5920138888888888,0.2604166666666667,0.4780058651026393,0.4866666666666667,0.575,0.24573378839590443,0.5833333333333334,1.0,0.00729060785363605,0.0,1.0,0,0.5833333333333334,0.0,1.0,0.6666666666666666,1.0,0.034527666234845864,0.0,1.0,0,0.6666666666666666,0.0,1.0
15,0.5496957403651116,0.8559027777777778,0.10137390606732324,0.3385416666666667,0.5173611111111112,0.5333333333333333,0.5604026845637584,0.3607142857142857,0.5699658703071673,0.4166666666666667,1.0,-0.00729060785363605,1.0,0.0,0.4166666666666667,0,1.0,0.0,0.3333333333333333,1.0,-0.034527666234845864,1.0,0.0,0.3333333333333333,0,1.0,0.0
16,0.507399577167019,0.8211805555555556,-0.039524052512751935,0.5850694444444444,0.2361111111111111,0.49851632047477745,0.5294117647058824,0.5928571428571429,0.24232081911262798,0.5833333333333334,1.0,0.00729060785363605,0.0,1.0,0,0.5833333333333334,0.0,1.0,0.6666666666666666,1.0,0.034527666234845864,0.0,1.0,0,0.6666666666666666,0.0,1.0
17,0.5073375262054507,0.828125,-0.018119024305022543,0.2847222222222222,0.5434027777777778,0.5,0.5111821086261981,0.28214285714285714,0.5460750853242321,0.4166666666666667,1.0,-0.00729060785363605,1.0,0.0,0.4166666666666667,0,1.0,0.0,0.3333333333333333,1.0,-0.034527666234845864,1.0,0.0,0.3333333333333333,0,1.0,0.0
18,0.5043103448275862,0.8055555555555556,-0.0037876307759927828,0.5729166666666666,0.2326388888888889,0.49393939393939396,0.5298507462686567,0.5785714285714286,0.23890784982935154,0.5833333333333334,1.0,0.00729060785363605,0.0,1.0,0,0.5833333333333334,0.0,1.0,0.6666666666666666,1.0,0.034527666234845864,0.0,1.0,0,0.6666666666666666,0.0,1.0
19,0.5248380129589633,0.8038194444444444,-0.00540410709445578,0.296875,0.5069444444444444,0.5321637426900585,0.5205479452054794,0.32142857142857145,0.5119453924914675,0.5833333333333334,1.0,0.00729060785363605,0.0,1.0,0,0.5833333333333334,0.0,1.0,0.6666666666666666,1.0,0.034527666234845864,0.0,1.0,0,0.6666666666666666,0.0,1.0
